Issue Key,Summary,Description,Priority,Story Points,Labels
TABLE-009,GetTableByQRUseCase,"Retrieve table information by scanning QR code. Validate token, return table details with branch and restaurant info. Cache result.",Highest,3,table;qr;backend
TABLE-010,UpdateTableStatusUseCase,"Update table status (Available/Occupied/Reserved/OutOfService). Trigger WebSocket event for real-time updates.",Highest,3,table;realtime;backend
TABLE-011,MergeTablesUseCase,"Merge multiple tables for split bill feature. Move orders from source to target table. Record merge history. Validate same branch.",High,8,table;order;backend
MENU-001,Menu Management,"Comprehensive menu management including categories, items, customizations, availability tracking, image uploads, and search functionality.",Highest,,menu;backend
MENU-002,CreateCategoryUseCase,"Create menu category (Appetizer, Main Course, Dessert, Drinks). Set sort order. Support global or branch-specific categories.",Highest,3,menu;backend
MENU-003,UpdateCategoryUseCase,"Update category name, description, sort order. Validate tenant ownership.",Medium,2,menu;backend
MENU-004,DeleteCategoryUseCase,"Soft delete category. Cascade to menu items. Validate no active orders with items from category.",Low,2,menu;backend
MENU-005,CreateMenuItemUseCase,"Create menu item with price, description, image. Link to category. Support branch-specific or global items.",Highest,5,menu;backend
MENU-006,UpdateMenuItemUseCase,"Update menu item details. Invalidate cache. Log price changes for audit trail.",High,3,menu;backend
MENU-007,DeleteMenuItemUseCase,"Soft delete menu item. Validate no active orders. Keep historical order data intact.",Medium,2,menu;backend
MENU-008,UploadMenuItemImageUseCase,"Upload menu item image to Cloudinary. Validate format and size. Generate thumbnails. Store URL.",High,5,menu;media;backend
MENU-009,GetFullMenuByBranchUseCase,"Retrieve complete menu with categories, items, customizations. Filter by availability. Cache aggressively (2 hours TTL).",Highest,5,menu;cache;backend
MENU-010,UpdateMenuItemAvailabilityUseCase,"Update item availability status (available/out_of_stock). Set reason. Invalidate menu cache. Notify via WebSocket.",Highest,3,menu;realtime;backend
MENU-011,CreateCustomizationGroupUseCase,"Create customization group (Size, Toppings, Spice Level). Set min/max selections, required flag.",High,5,menu;backend
MENU-012,AddCustomizationOptionUseCase,"Add option to customization group with price delta. Set sort order. Support multiple options per group.",High,3,menu;backend
MENU-013,SearchMenuItemsUseCase,"Search menu items by name/description. Support fuzzy search. Filter by category, availability. Return ranked results.",Medium,5,menu;search;backend
ORDER-001,Order Management,"Complete order lifecycle management including creation, updates, status tracking, item management, and real-time synchronization with kitchen and customer.",Highest,,order;backend
ORDER-002,CreateOrderUseCase,"Create order from QR scan. Validate menu items availability. Calculate totals (subtotal, tax 10%, service charge 5%). Create in PostgreSQL, log event in MongoDB, emit WebSocket event, invalidate cache.",Highest,8,order;qr;realtime;backend
ORDER-003,GetOrderDetailsUseCase,"Retrieve order with full details: items, customizations, payment status, table info. Try cache first (5min TTL).",Highest,3,order;cache;backend
ORDER-004,UpdateOrderStatusUseCase,"Update order status (Pending→Preparing→Ready→Served→Completed). Log event to MongoDB. Emit WebSocket to kitchen and customer. Invalidate cache.",Highest,5,order;realtime;backend
ORDER-005,AddItemsToOrderUseCase,"Add items to existing order. Recalculate totals. Validate order not paid. Log event. Emit real-time update.",High,5,order;backend
ORDER-006,RemoveItemFromOrderUseCase,"Remove item from order. Recalculate totals. Validate order not paid. Log event.",High,3,order;backend
ORDER-007,UpdateOrderItemUseCase,"Update item quantity or customizations. Recalculate totals. Validate order not paid. Log event.",High,3,order;backend
ORDER-008,CancelOrderUseCase,"Cancel order within cancellation window (5 minutes). Update table status to Available. Refund if paid. Log event.",High,5,order;backend
ORDER-009,GetActiveOrdersByBranchUseCase,"List active orders for branch (Pending/Preparing/Ready/Served). Cache 5 minutes. Support real-time updates.",Highest,3,order;cache;backend
ORDER-010,GetOrdersByTableUseCase,"Retrieve order history for specific table. Support pagination. Show payment status.",Medium,3,order;backend
ORDER-011,GetOrderLifecycleUseCase,"Retrieve complete order event history from MongoDB. Show timeline of all status changes and modifications.",Medium,5,order;mongodb;backend
PAYMENT-001,Payment Management,"Secure payment processing with ACID transactions, idempotency, webhook verification, refunds, and financial reporting. Integrates with PayOS gateway.",Highest,,payment;financial;backend
PAYMENT-002,ProcessPaymentUseCase,"Process payment with SELECT FOR UPDATE lock. Check idempotency key. Validate amount matches order total. Update order and table status in transaction. Log to MongoDB. Emit WebSocket event. CRITICAL: Prevent double payment.",Highest,8,payment;transaction;backend
PAYMENT-003,VerifyPaymentWebhookUseCase,"Verify PayOS webhook signature using HMAC-SHA256. Validate transaction reference. Update payment status. Handle success/failure cases.",Highest,5,payment;webhook;backend
PAYMENT-004,GetPaymentDetailsUseCase,"Retrieve payment details including transaction reference, method, status, PayOS data. Include order information.",High,3,payment;backend
PAYMENT-005,RefundPaymentUseCase,"Process refund in transaction. Update payment status (Refunded/PartialRefund). Update order status to Cancelled. Log event. Call PayOS refund API.",High,8,payment;transaction;backend
PAYMENT-006,GetPaymentHistoryUseCase,"List payment history with filters (date range, status, method). Support pagination. Show order details.",Medium,3,payment;backend
PAYMENT-007,GetPaymentStatisticsUseCase,"Generate payment statistics: total revenue, success rate, payment methods breakdown, average transaction value. Cache results.",High,5,payment;analytics;backend
PAYMENT-008,RetryFailedPaymentUseCase,"Retry failed payment with new idempotency key. Validate order still unpaid. Generate new transaction reference.",Medium,5,payment;backend
PAYMENT-009,GenerateInvoiceUseCase,"Generate invoice for paid order. Include itemized list, taxes, service charges. Store as PDF. Send via email.",Medium,5,payment;pdf;backend
RESERVATION-001,Reservation Management,"Online table booking system with availability checking, confirmation workflow, calendar view, and automated notifications.",Medium,,reservation;backend
RESERVATION-002,CreateReservationUseCase,"Create table reservation. Check table availability using 2-hour buffer. Validate party size fits capacity. Send confirmation email.",High,5,reservation;email;backend
RESERVATION-003,UpdateReservationUseCase,"Update reservation details (time, party size, table). Recheck availability. Send update notification.",Medium,3,reservation;backend
RESERVATION-004,CancelReservationUseCase,"Cancel reservation. Free up table. Send cancellation email. Update status to Cancelled.",Medium,3,reservation;backend
RESERVATION-005,ConfirmReservationUseCase,"Confirm pending reservation. Update status. Send confirmation email with details and QR code.",High,3,reservation;email;backend
RESERVATION-006,GetReservationDetailsUseCase,"Retrieve reservation details including customer info, table, branch, status.",Medium,2,reservation;backend
RESERVATION-007,ListReservationsUseCase,"List reservations with filters (date range, status, branch). Support pagination. Calendar view data.",High,3,reservation;backend
RESERVATION-008,CheckTableAvailabilityUseCase,"Check table availability for date/time/party size. Consider existing reservations and 2-hour buffer. Return available tables sorted by capacity.",High,5,reservation;backend
SERVICE-001,Service Request Management,"Real-time customer service request system for calling staff, requesting items, and tracking response times with WebSocket notifications.",High,,service;realtime;backend
SERVICE-002,CreateServiceRequestUseCase,"Create service request from QR scan (Call Staff, Request Water, Request Bill, etc.). Store in MongoDB. Emit WebSocket to staff. Set priority.",Highest,5,service;realtime;mongodb;backend
SERVICE-003,AcknowledgeServiceRequestUseCase,"Staff acknowledges request. Update status to ACKNOWLEDGED. Record acknowledged_at timestamp. Notify customer via WebSocket.",High,3,service;realtime;backend
SERVICE-004,ResolveServiceRequestUseCase,"Mark request as RESOLVED. Calculate response time. Update resolved_at. Notify customer. Auto-delete after 24 hours (TTL).",High,3,service;mongodb;backend
SERVICE-005,GetPendingRequestsByBranchUseCase,"List pending requests for branch sorted by priority and creation time. Real-time updates via WebSocket.",Highest,3,service;realtime;backend
SERVICE-006,AssignRequestToStaffUseCase,"Assign request to specific staff member. Update assigned_to field. Notify staff via WebSocket.",Medium,3,service;backend
SERVICE-007,GetServiceRequestStatisticsUseCase,"Calculate statistics: total requests, average response time, requests by type, resolution rate. Group by time period.",Medium,5,service;analytics;mongodb;backend
USER-001,User & Staff Management,"Staff account management with role-based access control, branch assignment, activity logging, and permission management.",High,,user;rbac;backend
USER-002,CreateStaffUseCase,"Create staff account (Manager/Staff/Chef/Cashier). Assign to branch. Set permissions based on role. Send welcome email with credentials.",High,5,user;rbac;backend
USER-003,UpdateStaffUseCase,"Update staff information (name, email, phone). Validate email uniqueness. Log changes to activity log.",Medium,3,user;backend
USER-004,DeleteStaffUseCase,"Soft delete staff account. Unassign from branch. Invalidate tokens. Archive activity logs.",Medium,2,user;backend
USER-005,AssignStaffToBranchUseCase,"Assign staff to branch. Validate branch belongs to restaurant. Update staff record. Notify staff.",High,3,user;backend
USER-006,UpdateStaffRoleUseCase,"Change staff role. Update permissions accordingly. Invalidate existing tokens. Require re-login.",High,3,user;rbac;backend
USER-007,GetStaffListUseCase,"List staff with filters (branch, role, status). Support pagination and search. Show last login.",High,3,user;backend
USER-008,GetStaffActivityLogUseCase,"Retrieve staff activity log from MongoDB. Show actions performed, entities modified, timestamps. Support filtering.",High,5,user;mongodb;backend
USER-009,SetStaffStatusUseCase,"Activate/deactivate staff account. Invalidate tokens if deactivated. Notify staff via email.",Medium,2,user;backend
SUBSCRIPTION-001,Subscription Management,"SaaS subscription management with plan tiers (Basic/Standard/Advanced), feature limits, upgrades, renewals, and billing.",High,,subscription;saas;backend
SUBSCRIPTION-002,CreateSubscriptionUseCase,"Create subscription during restaurant registration. Default to trial plan. Set start/end dates. Initialize feature limits.",Highest,5,subscription;backend
SUBSCRIPTION-003,UpgradeSubscriptionUseCase,"Upgrade to higher plan. Calculate prorated amount. Update feature limits immediately. Process payment via PayOS. Send confirmation.",High,5,subscription;payment;backend
SUBSCRIPTION-004,CancelSubscriptionUseCase,"Cancel subscription. Set end date. Downgrade to free plan at period end. Send cancellation confirmation.",Medium,3,subscription;backend
SUBSCRIPTION-005,RenewSubscriptionUseCase,"Auto-renew subscription. Process payment. Extend end date. Handle payment failures with retry logic.",High,5,subscription;payment;backend
SUBSCRIPTION-006,GetSubscriptionDetailsUseCase,"Retrieve subscription details: plan type, features, limits, billing cycle, next renewal date.",High,2,subscription;backend
SUBSCRIPTION-007,CheckFeatureLimitUseCase,"Check if restaurant has reached feature limit (max tables, max branches). Used before creating new entities. Cache limits.",Highest,3,subscription;cache;backend
FEEDBACK-001,Feedback & Rating Management,"Customer feedback and rating system with dish-specific ratings, sentiment analysis, response management, and statistics.",Medium,,feedback;mongodb;backend
FEEDBACK-002,CreateFeedbackUseCase,"Create feedback after order completion. Rate overall (1-5), food, service, ambiance. Rate individual dishes. Upload photos. Store in MongoDB. Auto-detect sentiment.",High,5,feedback;mongodb;backend
FEEDBACK-003,GetFeedbacksByRestaurantUseCase,"List feedbacks with filters (rating, date range, sentiment). Support pagination. Show customer info if not anonymous.",Medium,3,feedback;mongodb;backend
FEEDBACK-004,RespondToFeedbackUseCase,"Restaurant responds to feedback. Store response with timestamp and responder. Notify customer via email.",Medium,3,feedback;email;backend
FEEDBACK-005,GetFeedbackStatisticsUseCase,"Calculate statistics: average ratings, sentiment distribution, response rate, trending issues. Cache results.",High,5,feedback;analytics;mongodb;backend
FEEDBACK-006,GetDishRatingsUseCase,"Get ratings for specific dish. Calculate average rating, total reviews. Show recent comments. Help identify popular/unpopular items.",Medium,3,feedback;mongodb;backend
ANALYTICS-001,Analytics & Reporting,"Business intelligence dashboard with revenue reports, popular items analysis, peak hours, table turnover, staff performance, and export functionality.",Medium,,analytics;backend
ANALYTICS-002,GetDashboardOverviewUseCase,"Generate dashboard overview: today's revenue, active orders, table occupancy, pending service requests. Real-time updates. Cache 5 minutes.",High,8,analytics;cache;realtime;backend
ANALYTICS-003,GetRevenueReportUseCase,"Generate revenue report by date range. Group by day/week/month. Show trends, comparisons. Support branch filtering. Cache results.",High,5,analytics;backend
ANALYTICS-004,GetPopularItemsUseCase,"Identify popular menu items by order frequency and quantity. Show revenue contribution. Filter by date range and branch.",High,5,analytics;backend
ANALYTICS-005,GetPeakHoursAnalyticsUseCase,"Analyze order patterns to identify peak hours. Group by hour of day and day of week. Help with staff scheduling.",Medium,5,analytics;backend
ANALYTICS-006,GetTableTurnoverRateUseCase,"Calculate table turnover rate: average dining duration, tables per day. Identify optimization opportunities.",Medium,5,analytics;backend
ANALYTICS-007,GetStaffPerformanceUseCase,"Analyze staff performance: orders handled, service request response time, customer ratings. Support comparison.",Medium,5,analytics;backend
ANALYTICS-008,ExportReportUseCase,"Export reports to Excel/PDF. Support all report types. Generate asynchronously for large datasets. Email download link.",Medium,5,analytics;export;backend
ANALYTICS-009,GetCustomerBehaviorUseCase,"Analyze customer behavior: order patterns, average spend, visit frequency, preferred items. Use MongoDB session data.",Medium,5,analytics;mongodb;backend
NOTIFICATION-001,Notification System,"Multi-channel notification system for order updates, payment confirmations, service requests, and system alerts via WebSocket, email, and SMS.",Medium,,notification;realtime;backend
NOTIFICATION-002,SendOrderNotificationUseCase,"Send real-time notification when order created/updated. WebSocket to kitchen display and staff devices. Include order details.",Highest,5,notification;realtime;backend
NOTIFICATION-003,SendPaymentNotificationUseCase,"Send payment confirmation via email and WebSocket. Include receipt, invoice PDF. Update customer and staff.",High,5,notification;email;backend
NOTIFICATION-004,SendServiceRequestNotificationUseCase,"Send real-time notification to staff when service requested. WebSocket with sound alert. Show table location and request type.",Highest,5,notification;realtime;backend
NOTIFICATION-005,GetNotificationHistoryUseCase,"Retrieve notification history from MongoDB. Filter by type, status, date range. Support pagination.",Medium,3,notification;mongodb;backend
